altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,2,2,Chicago,1674190316856420914,True,False,Chicago,2022-09-06 12:19:12,41.756003,Chicago,-87.64409,60602,Chicago,Chicago,Public Rack - Halsted St & 76th St,IN_SERVICE,1,IN_SERVICE,False,4
0.0,0,1,Chicago,1677249845303973992,True,False,Chicago,2022-09-06 20:07:55,41.691665,Chicago,-87.681022,60602,Chicago,Chicago,Public Rack - Western Ave & 111th St - SE,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,1,Chicago,1674190402755766966,True,False,Chicago,2022-09-06 12:33:38,41.7707,Chicago,-87.611706,60602,Chicago,Chicago,Public Rack - Keef Ave & South Chicago Ave,IN_SERVICE,1,IN_SERVICE,False,1
0.0,2,7,Chicago,1563698692616359930,True,False,Chicago,2022-10-20 11:46:46,41.9166701,Chicago,-87.7494873,60602,Chicago,Chicago,Lamon Ave & Armitage Ave,IN_SERVICE,1,IN_SERVICE,False,9
0.0,0,1,Chicago,1674190342626224740,True,False,Chicago,2022-09-06 12:32:07,41.691578,Chicago,-87.705842,60602,Chicago,Chicago,Public Rack - Homan Ave & 111th St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,7,2,Chicago,1448642183732401788,True,False,Chicago,2022-10-20 11:46:43,41.705588,Chicago,-87.602938,60602,Chicago,Chicago,Maryland Ave & 104th St,IN_SERVICE,1,IN_SERVICE,False,10
0.0,6,2,Chicago,1594046409578074834,True,False,Chicago,2022-10-20 11:46:46,41.913959,Chicago,-87.699368,60602,Chicago,Chicago,Francisco Ave & Bloomingdale Ave,IN_SERVICE,1,IN_SERVICE,False,9
0.0,0,2,Chicago,1683527950760754170,True,False,Chicago,2022-09-06 19:29:57,41.822839,Chicago,-87.609525,60602,Chicago,Chicago,Public Rack - Langley Ave & Oakwood Blvd,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,1,Chicago,1674190411345701582,True,False,Chicago,2022-09-06 12:50:23,41.881838,Chicago,-87.733661,60602,Chicago,Chicago,Public Rack - Kildare Ave & Washignton Blvd,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,2,Chicago,1674190578849426418,True,False,Chicago,2022-09-06 19:41:28,41.81864,Chicago,-87.72428,60602,Chicago,Chicago,Public Rack - Pulaski Rd & 40th St,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,1,Chicago,1674190299676551700,True,False,Chicago,2022-09-06 13:12:50,41.7215552,Chicago,-87.5356904,60602,Chicago,Chicago,Public Rack - Ewing Ave & 96th St N,IN_SERVICE,1,IN_SERVICE,False,1
0.0,1,1,Chicago,1674190450000407314,True,False,Chicago,2022-09-06 19:32:03,41.879312,Chicago,-87.725428,60602,Chicago,Chicago,Public Rack - Legler Regional Library,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,1,Chicago,1677249772289529866,True,False,Chicago,2022-09-06 16:19:49,41.982838,Chicago,-87.71233,60602,Chicago,Chicago,Public Rack - Christiana Ave & Bryn Mawr Ave,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,1,Chicago,1674190376985963172,True,False,Chicago,2022-09-06 13:18:46,41.782281,Chicago,-87.703047,60602,Chicago,Chicago,Public Rack - Kedzie Ave & 61st Pl E,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,1,Chicago,1683527957294958598,True,False,Chicago,2022-09-06 19:39:14,41.75167773,Chicago,-87.57045748,60602,Chicago,Chicago,Public Rack - Paxton Ave & 79th St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,1,Chicago,1674190239547009454,True,False,Chicago,2022-09-06 12:00:12,41.793307,Chicago,-87.707702,60602,Chicago,Chicago,Public Rack - Christiana Ave & 55th St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,9,Chicago,1575949498093662914,True,False,Chicago,2022-10-20 11:46:46,41.902513,Chicago,-87.750869,60602,Chicago,Chicago,Lavergne Ave & Division St,IN_SERVICE,1,IN_SERVICE,False,9
0.0,5,4,Chicago,1594046418168009436,True,False,Chicago,2022-10-20 11:46:47,41.941499,Chicago,-87.701051,60602,Chicago,Chicago,Elston Ave & Henderson St,IN_SERVICE,1,IN_SERVICE,False,9
0.0,0,1,Chicago,1695776956346497674,True,False,Chicago,2022-09-06 19:38:50,41.692303,Chicago,-87.635478,60602,Chicago,Chicago,Public Rack - Normal Ave & 111th St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,4,Chicago,1674190235252042148,True,False,Chicago,2022-09-06 16:19:15,42.014539,Chicago,-87.6901359,60602,Chicago,Chicago,Public Rack - Chase Ave & Touhy Ave - NE,IN_SERVICE,1,IN_SERVICE,False,4
0.0,1,0,Chicago,1674190170827532590,True,False,Chicago,2022-09-06 16:10:59,41.909281,Chicago,-87.775613,60602,Chicago,Chicago,Public Rack - Austin Blvd & North Ave,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,2,Chicago,1674190557374589898,True,False,Chicago,2022-09-06 12:54:09,41.764225,Chicago,-87.600166,60602,Chicago,Chicago,Public Rack - Paul Revere Elementary School,IN_SERVICE,1,IN_SERVICE,False,3
0.0,0,9,Chicago,1594046418168009438,True,False,Chicago,2022-10-20 11:46:45,41.939638,Chicago,-87.705263,60602,Chicago,Chicago,Albany Ave & Belmont Ave,IN_SERVICE,1,IN_SERVICE,False,9
0.0,0,2,Chicago,1677249776584497168,True,False,Chicago,2022-09-06 16:19:56,41.968547,Chicago,-87.712582,60602,Chicago,Chicago,Public Rack - Christiana Ave & Lawrence Ave,IN_SERVICE,1,IN_SERVICE,False,2
0.0,1,8,Chicago,1594046456822715150,True,False,Chicago,2022-10-20 11:46:42,41.984746,Chicago,-87.701593,60602,Chicago,Chicago,Francisco Ave & Hollywood Ave,IN_SERVICE,1,IN_SERVICE,False,9
0.0,0,1,Chicago,1674190535899753382,True,False,Chicago,2022-09-06 12:47:42,41.945428,Chicago,-87.803458,60602,Chicago,Chicago,Public Rack - Nordica Ave & Addison St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,2,Chicago,1674190291086617090,True,False,Chicago,2022-09-06 12:10:22,41.754442,Chicago,-87.601745,60602,Chicago,Chicago,Public Rack - Emil G Hirch Metropolitan High School,IN_SERVICE,1,IN_SERVICE,False,2
